year,team,team_id,conf,quad_id,seed,round,kadj_o,kadj_o_rank,kadj_d,kadj_d_rank,kadj_t,kadj_t_rank,badj_o,badj_o_rank,badj_d,badj_d_rank,barthag,barthag_rank,efg%,efg%_rank,efg%d,efgd%_rank,tov%,tov%_rank,tov%d,tov%d_rank,oreb%,oreb%_rank,dreb%,dreb%_rank,ftr,ftr_rank,ftrd,ftrd_rank,2pt%,2pt%_rank,2pt%d,2pt%d_rank,3pt%,3pt%_rank,3pt%d,3pt%d_rank,3ptr,3ptr_rank,3ptrd,3ptrd_rank
2025,High Point,252,BSth,1,13,64,118.496,25,109.181,227,66.4904,222,117.709,29,108.136,213,0.726,85,56.4,13,49.1,95,15.3,51,16.5,227,34.0,60,70.1,191,37.6,54,36.3,270,57.4,15,48.9,100,36.6,52,32.9,122,39.0,174,36.0,90
2025,Houston,76,B12,1,1,2,123.269,11,87.8253,2,61.5016,360,124.791,9,87.987,1,0.982,1,52.7,91,44.9,4,14.6,27,21.7,17,36.1,16,70.7,159,28.2,318,34.1,214,49.0,269,43.9,5,39.8,4,30.9,36,34.5,296,43.1,310
2025,Illinois,78,B10,1,6,32,121.633,15,98.0448,40,71.4016,18,122.207,15,98.489,45,0.923,23,52.3,104,47.3,33,15.8,89,12.7,360,36.0,18,73.7,33,34.6,132,26.8,37,57.3,18,46.1,19,31.1,318,33.3,153,46.9,31,30.4,3
2025,Iowa St.,83,B12,4,3,32,119.483,20,92.4824,10,68.6373,102,118.876,20,92.347,8,0.948,8,54.6,50,48.4,67,16.9,167,21.8,16,32.2,111,71.6,107,38.5,40,28.9,76,55.1,46,47.5,52,35.8,71,33.2,140,36.9,234,40.7,249
2025,Kansas,86,B12,3,7,64,116.021,48,92.761,11,68.4297,113,116.11,43,93.045,10,0.927,21,53.1,79,46.2,16,16.7,154,15.6,287,30.4,169,72.5,69,24.3,355,28.0,54,53.4,90,46.1,19,35.2,102,30.9,36,34.3,297,40.7,249
2025,Kentucky,90,SEC,1,3,16,123.868,8,99.6111,57,71.013,24,123.862,11,98.714,49,0.931,17,56.0,21,50.4,156,15.2,47,14.0,342,28.7,221,74.1,27,35.9,96,31.0,128,55.9,33,53.7,290,37.4,26,30.8,32,41.7,115,43.5,317
2025,Liberty,95,CUSA,2,12,64,112.496,80,98.9632,48,65.3931,284,112.808,68,98.229,42,0.831,56,58.4,2,45.9,10,15.3,51,16.9,192,18.9,361,72.0,87,30.9,250,26.3,30,57.7,13,48.0,63,39.5,5,28.0,3,47.7,23,34.4,43
2025,Lipscomb,96,ASun,4,14,64,112.711,75,103.225,100,65.9466,258,110.718,97,104.041,125,0.672,101,55.9,22,48.6,79,14.4,22,15.9,270,24.0,332,73.5,40,31.4,227,22.3,8,56.7,21,49.9,138,36.7,46,31.0,40,47.4,27,37.2,119
2025,Louisville,102,ACC,4,8,64,118.177,27,95.5301,21,68.826,90,118.342,25,94.659,16,0.929,19,53.4,72,49.2,100,16.5,136,18.6,93,32.2,111,72.8,59,34.5,137,26.8,37,57.0,19,48.3,79,33.0,218,33.7,177,48.1,19,39.7,214
2025,Marquette,107,BE,4,7,64,117.695,32,96.1073,27,67.6373,156,116.667,40,96.533,31,0.898,31,52.0,116,49.9,133,13.5,8,21.5,20,30.1,177,69.0,245,26.1,342,30.2,109,54.9,49,51.3,200,32.5,246,31.8,69,46.3,40,39.8,218
2025,Maryland,109,B10,3,4,16,118.089,28,91.7546,6,69.8717,57,117.835,28,92.041,6,0.945,10,53.8,59,47.0,27,14.5,24,20.2,40,31.0,152,72.8,59,32.9,182,25.9,28,52.7,114,47.6,54,37.2,31,30.7,28,35.5,271,35.8,82
2025,McNeese St.,248,SInd,1,12,32,114.303,63,100.611,66,65.427,283,113.414,65,100.742,74,0.796,64,53.3,75,47.5,39,16.2,119,21.6,18,34.7,42,68.7,261,35.7,103,31.4,139,53.2,100,46.9,36,35.6,82,32.2,87,36.7,242,46.6,351
2025,Memphis,111,Amer,3,5,64,113.302,71,98.1617,41,70.8385,28,111.669,88,98.668,47,0.806,60,53.6,67,48.5,73,19.2,308,19.1,72,35.1,37,67.7,303,39.4,31,33.6,200,52.0,140,48.6,88,38.0,18,32.2,87,33.1,323,40.7,249
2025,Michigan,114,B10,4,5,16,116.787,37,94.9671,16,69.6043,61,115.121,54,94.416,15,0.907,26,54.5,51,46.3,18,19.8,329,16.0,268,33.2,82,70.2,184,35.0,123,28.5,66,57.7,13,45.9,15,33.4,198,31.3,49,42.5,91,38.9,188
2025,Michigan St.,115,B10,4,2,8,118.056,29,90.49,5,67.7809,144,116.833,37,91.836,5,0.941,13,51.2,151,46.1,13,16.6,148,16.4,239,35.3,34,75.4,8,37.8,50,33.1,183,53.6,87,49.1,107,30.8,327,27.9,2,32.7,331,41.4,275
2025,Mississippi,119,SEC,4,6,16,117.897,31,95.8241,25,68.1108,130,117.393,31,96.948,34,0.9,30,51.1,161,50.5,163,12.8,3,20.5,36,25.4,314,69.2,234,35.6,106,39.5,324,51.0,182,51.6,212,34.1,163,32.7,114,40.2,150,44.0,324
2025,Mississippi St.,120,SEC,2,8,64,118.786,23,98.6992,47,68.2016,124,118.331,26,98.764,50,0.889,32,51.7,128,51.9,239,15.1,43,19.0,75,34.1,57,70.5,167,31.6,218,35.4,246,55.2,43,50.1,146,31.4,298,36.1,319,42.3,99,44.2,327
2025,Missouri,122,SEC,3,6,64,125.359,5,100.97,73,68.279,121,127.001,5,100.802,75,0.934,16,56.2,18,50.7,174,15.2,47,20.0,47,33.7,69,67.8,301,46.8,2,35.3,239,56.7,21,51.1,188,37.0,36,33.4,160,41.5,120,38.2,156
2025,Montana,123,BSky,2,14,64,110.837,98,110.443,250,67.1057,193,112.006,81,108.986,235,0.578,133,56.4,13,52.2,249,16.2,119,15.5,297,22.6,348,71.0,142,36.2,87,31.9,152,57.3,18,53.1,270,36.5,57,33.7,177,36.8,239,35.0,55
2025,Mount St. Mary's,127,MAAC,2,16,64,100.191,293,106.864,175,67.4378,170,99.44,298,107.479,199,0.29,264,51.0,166,48.0,55,21.7,359,15.9,270,31.1,145,71.7,101,31.0,244,26.7,35,50.1,219,48.7,91,34.9,122,31.4,52,41.0,132,44.5,335
2025,Nebraska Omaha,253,Sum,3,15,64,111.099,96,110.588,252,67.7809,145,112.161,78,108.418,221,0.596,126,53.5,70,53.1,287,15.7,82,14.9,322,29.2,205,74.6,19,36.4,78,37.7,296,52.5,124,53.5,285,36.7,46,35.1,264,38.6,178,44.5,335
2025,New Mexico,131,MWC,4,10,32,112.545,79,95.2167,19,72.7518,4,111.747,87,94.917,18,0.867,40,50.8,176,49.2,100,15.6,74,20.5,36,31.5,130,74.4,21,37.8,50,35.0,233,50.6,199,48.2,73,34.1,163,33.8,186,32.2,334,38.3,161
2025,Norfolk St.,134,MEAC,3,16,64,107.201,168,108.723,217,66.4103,226,106.215,178,109.029,237,0.425,195,52.4,102,49.7,123,18.3,263,18.6,93,32.8,94,66.2,336,39.0,34,34.9,231,54.5,60,48.9,100,31.3,306,33.9,190,27.7,360,42.7,301
2025,North Carolina,135,ACC,4,11,64,118.913,22,99.3766,54,70.5124,34,118.831,21,99.811,65,0.881,36,54.2,53,49.6,118,15.1,43,15.2,310,29.2,205,72.9,54,34.8,126,30.0,106,54.9,49,49.2,113,35.3,96,33.5,167,37.0,229,37.9,148
2025,Oklahoma,153,SEC,3,9,64,119.062,21,100.717,70,68.6051,106,117.673,30,100.855,77,0.855,46,54.9,39,51.1,195,17.3,192,18.1,115,26.5,277,68.3,277,39.6,29,35.8,255,54.6,56,54.9,322,37.0,36,30.5,22,41.9,111,41.9,285
2025,Oregon,157,B10,2,5,32,116.643,41,96.4943,29,67.673,152,115.132,53,97.255,37,0.874,39,52.2,109,49.1,95,16.2,119,17.6,151,30.6,162,70.8,156,33.4,170,27.7,50,53.0,109,50.0,144,34.0,174,31.7,63,38.6,178,37.4,124
2025,Purdue,167,B10,1,4,16,124.163,7,100.363,61,65.0357,297,125.046,8,100.003,68,0.929,19,56.3,17,52.0,242,15.6,74,17.8,133,31.0,152,70.1,191,34.6,132,31.0,128,55.5,37,56.4,350,38.5,10,30.7,28,38.1,194,42.7,301
2025,Robert Morris,171,Horz,2,15,64,107.033,171,104.951,134,67.8393,141,105.898,185,105.022,144,0.524,150,51.3,146,50.3,150,18.5,276,18.8,85,35.3,34,71.7,101,38.4,41,30.0,106,50.7,193,49.8,132,34.9,122,34.2,210,36.8,239,35.6,76
2025,Saint Francis,254,NEC,4,16,68,99.7234,299,112.484,293,66.9974,201,99.855,294,111.964,289,0.211,301,51.6,134,51.3,207,19.6,324,16.4,239,25.4,314,70.0,201,23.8,357,28.7,71,52.6,121,53.4,282,33.4,198,32.3,95,41.9,111,43.2,311
2025,Saint Mary's,175,WCC,2,7,32,115.324,56,92.2318,9,61.7537,359,114.965,55,92.784,9,0.922,24,50.9,171,46.2,16,15.1,43,16.6,221,40.5,2,75.1,12,31.4,227,25.0,18,51.8,149,45.8,13,32.6,237,31.2,45,33.4,316,31.3,7
2025,San Diego St.,179,MWC,4,11,68,109.848,111,93.5742,13,66.1184,245,108.888,121,94.338,14,0.839,54,50.6,194,45.3,7,16.8,158,19.7,57,29.4,201,69.1,240,32.1,204,37.2,291,51.6,153,45.0,8,32.8,230,30.4,19,39.4,169,47.3,354
2025,SIU Edwardsville,255,OVC,1,16,64,101.933,255,106.247,160,65.8961,261,101.289,265,105.708,164,0.38,218,48.9,274,47.5,39,17.1,179,17.3,173,31.8,123,70.9,148,33.1,177,33.2,188,47.8,298,46.3,23,34.0,174,33.0,126,36.3,250,38.6,174
